,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,ml-4m,Python
48,ml-acn-embed,Python
49,ml-act,Python
50,ml-ademamix,Python
51,ml-afv,Python
52,ml-agm,Python
53,ml-aim,Python
54,ml-all-pairs,Python
55,ml-ane-transformers,Python
56,ml-aspanformer,Python
57,ml-aura,Python
58,ml-autofocusformer,Python
59,ml-autofocusformer-segmentation,Python
60,ml-batchquant,Python
61,ml-behavioral-testing-for-mt,
62,ml-bilevel-train-dist,Python
63,ml-bloop,Python
64,ml-calibration,Jupyter Notebook
65,ml-capsules-inverted-attention-routing,Python
66,ml-cifar-10-faster,Python
67,ml-code-switched-speech-translation,Python
68,ml-codeswitching-translations,
69,ml-collegial-ensembles,Python
70,ml-compress-and-compare,Python
71,ml-core,Python
72,ml-covid-mobility,R
73,ml-cread,Python
74,ml-cross-entropy,Python
75,ml-cubifyanything,Python
76,ml-cvnets,Python
77,ml-cvpr2019-swd,Python
78,ml-dab,Python
79,ml-data-parameters,Python
80,ml-dataset-decomposition,Python
81,ml-delphi,
82,ml-depth-pro,Python
83,ml-destseg,Python
84,ml-diffusion-alignment-gflownet,Python
85,ml-direct2.5,Python
86,ml-divide-or-conquer,Python
87,ml-dms-dataset,Python
88,ml-dprecs,Jupyter Notebook
89,ml-dr,Python
90,ml-duet,Python
91,ml-entity-deduction-arena,Python
92,ml-entropy-reconstruction,Python
93,ml-envmapnet,Python
94,ml-equivariant-neural-rendering,Jupyter Notebook
95,ml-facelit,Python
96,ml-famae,Python
97,ml-fastvit,Python
98,ml-fct,Python
99,ml-ferret,Python
100,ml-finerecon,Python
101,ml-flair,Jupyter Notebook
102,ml-flextok,Jupyter Notebook
103,ml-gaudi,
104,ml-gbc,Python
105,ml-gendered-translation,Ruby
106,ml-gmpi,Python
107,ml-gsm-symbolic,
108,ml-gsn,Python
109,ml-hd-gist,Python
110,ml-heart-rate-models,Python
111,ml-hierarchical-confusion-matrix,TypeScript
112,ml-hugs,Python
113,ml-hypercloning,Python
114,ml-hypersim,Python
115,ml-interactive-data-augmentation,Svelte
116,ml-internal-llms-instruction-following,Python
117,ml-interspeech2022-phi_rtn,
118,ml-jointnet,Python
119,ml-key-retrieval-code-tasks,Python
120,ml-keyframer,JavaScript
121,ml-kg-mt,Python
122,ml-kge,Python
123,ml-knowledge-conflicts,Python
124,ml-kpconvx,Python
125,ml-live-pose,
126,ml-llarp,Python
127,ml-lucid-datagen,Python
128,ml-mad-bench,Jupyter Notebook
129,ml-mcf,Python
130,ml-mdm,Python
131,ml-mgie,Python
132,ml-mia-bench,Jupyter Notebook
133,ml-MixupMP,Python
134,ml-mkqa,Python
135,ml-mobileclip,Python
136,ml-mobileone,Swift
137,ml-mofi,Python
138,ml-multiple-futures-prediction,Python
139,ml-mycelium,JavaScript
140,ml-ncg,Python
141,ml-negative-sampling,Python
142,ml-neilf,Python
143,ml-neilfpp,Python
144,ml-neuman,Python
145,ml-no-token-left-behind,Jupyter Notebook
146,ml-np-rasp,Python
147,ml-nvas3d,Python
148,ml-ogen,Python
149,ml-pgdvs,Python
150,ml-planner,Python
151,ml-pointconvformer,Python
152,ml-pointersect,Python
153,ml-probabilistic-attention,Python
154,ml-projunit,Python
155,ml-qrecc,Python
156,ml-quant,Python
157,ml-recurrent-drafter,Python
158,ml-reed,Python
159,ml-reversal-blessing,Python
160,ml-rlgrad,Python
161,ml-robust-expert-augmentations,Python
162,ml-rpm-bench,Python
163,ml-sad,Python
164,ml-sage-dialog-gen,Python
165,ml-sampleplan,Python
166,ml-selfcond,Python
167,ml-shuffling-amplification,Python
168,ml-sigma-reparam,Python
169,ml-sigmoid-attention,Python
170,ml-slowfast-llava,Python
171,ml-spatial-librispeech,
172,ml-speech-is-more-than-words,
173,ml-spin,Python
174,ml-stable-diffusion,Python
175,ml-stabledreamer,
176,ml-stuttering-events-dataset,Python
177,ml-superposition-prompting,Python
178,ml-symphony,Svelte
179,ml-tarflow,Python
180,ml-tic-clip,Python
181,ml-toad,Python
182,ml-tract,Python
183,ml-transcript-translation-consistency-ratings,
184,ml-translate-vis,TypeScript
185,ml-tree-dst,Python
186,ml-tune-mode-convbn,Python
187,ml-tweak,Python
188,ml-uncertainty-llms-instruction-following,Python
189,ml-upscale,Jupyter Notebook
190,ml-uwac,Python
191,ml-veclip,Jupyter Notebook
192,ml-vfi-smiff,Python
193,ml-vfm-kt,
194,ml-vision-transformers-ane,Python
195,ml-vivid,Python
196,music-feed-examples,Java
197,openjdk,Java
198,parameterized-transforms,Python
199,password-manager-resources,JavaScript
200,pfl-research,Jupyter Notebook
201,pkl,Java
202,pkl-evolution,
203,pkl-go,Go
204,pkl-go-examples,Go
205,pkl-intellij,Kotlin
206,pkl-jvm-examples,Groovy
207,pkl-k8s,Pkl
208,pkl-k8s-examples,Pkl
209,pkl-lang.org,JavaScript
210,pkl-lsp,Kotlin
211,pkl-neovim,Scheme
212,pkl-package-docs,Kotlin
213,pkl-pantry,Pkl
214,pkl-project-commons,Pkl
215,pkl-spring,Java
216,pkl-swift,Swift
217,pkl-swift-examples,Swift
218,pkl-vscode,TypeScript
219,pkl.tmbundle,Pkl
220,pytorch-speech-features,Python
221,rules_pkl,Starlark
222,sample-backyard-birds,Swift
223,sample-cloudkit-coredatasync,Swift
224,sample-cloudkit-encryption,Swift
225,sample-cloudkit-privatedb,Swift
226,sample-cloudkit-privatedb-sync,Swift
227,sample-cloudkit-queries,Swift
228,sample-cloudkit-sharing,Swift
229,sample-cloudkit-sync-engine,Swift
230,sample-cloudkit-tooling,JavaScript
231,sample-cloudkit-zonesharing,Swift
232,sample-food-truck,Swift
233,security-pcc,Swift
234,servicetalk,Java
235,swift-3-api-guidelines-review,Swift
236,swift-algorithms,Swift
237,swift-argument-parser,Swift
238,swift-asn1,Swift
239,swift-async-algorithms,Swift
240,swift-async-dns-resolver,Swift
241,swift-atomics,Swift
242,swift-cassandra-client,Swift
243,swift-certificates,Swift
244,swift-clang,C++
245,swift-clang-tools-extra,C++
246,swift-cluster-membership,Swift
247,swift-cmake-examples,CMake
248,swift-collections,Swift
249,swift-collections-benchmark,Swift
250,swift-compiler-rt,C
251,swift-container-plugin,Swift
252,swift-crypto,Assembly
253,swift-distributed-actors,Swift
254,swift-distributed-tracing,Swift
255,swift-distributed-tracing-baggage-core,Swift
256,swift-distributed-tracing-extras,Swift
257,swift-embedded-examples,Swift
258,swift-evolution-staging,Swift
259,swift-for-wasm-examples,Swift
260,swift-getting-started-cli,Swift
261,swift-getting-started-package-library,Swift
262,swift-homomorphic-encryption,Swift
263,swift-homomorphic-encryption-protobuf,
264,swift-http-structured-headers,Swift
265,swift-http-types,Swift
266,swift-internals,HTML
267,swift-issues,
268,swift-libcxx,C++
269,swift-llbuild2,Swift
270,swift-lldb,C++
271,swift-llvm,LLVM
272,swift-log,Swift
273,swift-matter-examples,Swift
274,swift-metrics,Swift
275,swift-metrics-extras,Swift
276,swift-migration-guide,Markdown
277,swift-mmio,Swift
278,swift-nio,Swift
279,swift-nio-examples,Swift
280,swift-nio-extras,Swift
281,swift-nio-http2,Swift
282,swift-nio-imap,Swift
283,swift-nio-nghttp2-support,Swift
284,swift-nio-oblivious-http,Swift
285,swift-nio-ssh,Swift
286,swift-nio-ssl,Assembly
287,swift-nio-ssl-support,Swift
288,swift-nio-transport-services,Swift
289,swift-nio-zlib-support,Swift
290,swift-numerics,Swift
291,swift-openapi-generator,Swift
292,swift-openapi-runtime,Swift
293,swift-openapi-urlsession,Swift
294,swift-playdate-examples,Swift
295,swift-protobuf,Swift
296,swift-protobuf-plugin,
297,swift-protobuf-test-conformance,
298,swift-sample-distributed-actors-transport,Swift
299,swift-service-context,Swift
300,swift-service-discovery,Swift
301,swift-standard-library-preview,Swift
302,swift-statsd-client,Swift
303,swift-string-processing-benchmarks,Swift
304,swift-system,Swift
305,swift-tools-support-async,Swift
306,swift-xcode-playground-support,Swift
307,swiftpm-on-llbuild2,Swift
308,tensor-visualizer,Svelte
309,tensorflow_macos,Shell
310,ToolSandbox,Python
311,tree-sitter-pkl,Kotlin
312,turicreate,C++
313,unityplugins,C#
314,VideoFlashingReduction,Mathematica
315,vqg-multimodal-assistant,Python
